时代,英雄,定位,简单(生命／攻击),普通(生命／攻击),困难(生命／攻击)
石器时代,兽皮盾兵,肉盾,224 / 9.8,320 / 14.0,416 / 18.2
石器时代,棒兵,战士,126 / 18.2,180 / 26.0,234 / 33.8
石器时代,骨刃猎手,刺客,84 / 28.0,120 / 40.0,156 / 52.0
石器时代,投石手,远程,77 / 15.4,110 / 22.0,143 / 28.6
石器时代,部落酋长,BOSS领袖,434 / 32.2,620 / 46.0,806 / 59.8
铁器时代,铁甲卫兵,肉盾,381 / 16.7,544 / 23.8,707 / 30.9
铁器时代,剑士,战士,214 / 30.9,306 / 44.2,398 / 57.5
铁器时代,双刀刺客,刺客,143 / 47.6,204 / 68.0,265 / 88.4
铁器时代,弓箭手,远程,131 / 26.2,187 / 37.4,243 / 48.6
铁器时代,铁王,BOSS领袖,738 / 54.7,1054 / 78.2,1370 / 101.7
工业时代,铆钉重甲,肉盾,627 / 27.4,896 / 39.2,1165 / 51.0
工业时代,蒸汽拳手,战士,353 / 51.0,504 / 72.8,655 / 94.6
工业时代,烟雾刺客,刺客,235 / 78.4,336 / 112.0,437 / 145.6
工业时代,火枪手,远程,216 / 43.1,308 / 61.6,400 / 80.1
工业时代,蒸汽机甲男爵,BOSS领袖,1215 / 90.2,1736 / 128.8,2257 / 167.4
现代,防暴盾警,肉盾,1008 / 44.1,1440 / 63.0,1872 / 81.9
现代,机枪兵,战士,567 / 81.9,810 / 117.0,1053 / 152.1
现代,特工,刺客,378 / 126.0,540 / 180.0,702 / 234.0
现代,狙击手,远程,346 / 69.3,495 / 99.0,644 / 128.7
现代,钢铁将军,BOSS领袖,1953 / 144.9,2790 / 207.0,3627 / 269.1
未来时代,护盾机甲,肉盾,1613 / 70.6,2304 / 100.8,2995 / 131.0
未来时代,激光剑士,战士,907 / 131.0,1296 / 187.2,1685 / 243.4
未来时代,赛博忍者,刺客,605 / 201.6,864 / 288.0,1123 / 374.4
未来时代,等离子炮手,远程,554 / 110.9,792 / 158.4,1030 / 205.9
未来时代,AI巨型机甲,BOSS领袖,3125 / 231.8,4464 / 331.2,5803 / 430.6
