时代,英雄,卡牌,定位,生命,攻击,攻速(次／秒),DPS,射程,移速,攻击间隔,击杀积分,体型
石器时代,兽皮盾兵,兽皮,肉盾,320,14,0.67,9.3,44,34,1.5,8,1.12
石器时代,棒兵,木棒,战士,180,26,0.91,23.6,46,46,1.1,10,1
石器时代,骨刃猎手,骨刃,刺客,120,40,1.43,57.1,44,72,0.7,12,0.94
石器时代,投石手,投石,远程,110,22,0.83,18.3,190,40,1.2,12,0.98
石器时代,部落酋长,图腾,BOSS领袖,620,46,0.71,32.9,60,34,1.4,40,1.35
铁器时代,铁甲卫兵,铁盾,肉盾,544,23.8,0.67,15.9,44,34,1.5,8,1.12
铁器时代,剑士,铁剑,战士,306,44.2,0.91,40.2,46,46,1.1,10,1
铁器时代,双刀刺客,双刀,刺客,204,68,1.43,97.1,44,72,0.7,12,0.94
铁器时代,弓箭手,长弓,远程,187,37.4,0.83,31.2,190,40,1.2,12,0.98
铁器时代,铁王,王冠,BOSS领袖,1054,78.2,0.71,55.9,60,34,1.4,40,1.35
工业时代,铆钉重甲,齿轮,肉盾,896,39.2,0.67,26.1,44,34,1.5,8,1.12
工业时代,蒸汽拳手,扳手,战士,504,72.8,0.91,66.2,46,46,1.1,10,1
工业时代,烟雾刺客,匕首,刺客,336,112,1.43,160,44,72,0.7,12,0.94
工业时代,火枪手,火枪,远程,308,61.6,0.83,51.3,190,40,1.2,12,0.98
工业时代,蒸汽机甲男爵,烟囱,BOSS领袖,1736,128.8,0.71,92,60,34,1.4,40,1.35
现代,防暴盾警,防暴盾,肉盾,1440,63,0.67,42,44,34,1.5,8,1.12
现代,机枪兵,突击步枪,战士,810,117,0.91,106.4,46,46,1.1,10,1
现代,特工,战术刃,刺客,540,180,1.43,257.1,44,72,0.7,12,0.94
现代,狙击手,狙击枪,远程,495,99,0.83,82.5,190,40,1.2,12,0.98
现代,钢铁将军,军徽,BOSS领袖,2790,207,0.71,147.9,60,34,1.4,40,1.35
未来时代,护盾机甲,能量核心,肉盾,2304,100.8,0.67,67.2,44,34,1.5,8,1.12
未来时代,激光剑士,激光剑,战士,1296,187.2,0.91,170.2,46,46,1.1,10,1
未来时代,赛博忍者,隐刃,刺客,864,288,1.43,411.4,44,72,0.7,12,0.94
未来时代,等离子炮手,等离子炮,远程,792,158.4,0.83,132,190,40,1.2,12,0.98
未来时代,AI巨型机甲,AI核心,BOSS领袖,4464,331.2,0.71,236.6,60,34,1.4,40,1.35
